{'Value': 1101, 'Desc': '北京市', 'Count': 6725, 'provinceName': '北京', 'provinceCode': 'BJ'}
{'Value': 3401, 'Desc': '合肥市', 'Count': 7917, 'provinceName': '安徽', 'provinceCode': 'AH'}
{'Value': 3412, 'Desc': '阜阳市', 'Count': 2442, 'provinceName': '安徽', 'provinceCode': 'AH'}
{'Value': 3416, 'Desc': '亳州市', 'Count': 2362, 'provinceName': '安徽', 'provinceCode': 'AH'}
{'Value': 3402, 'Desc': '芜湖市', 'Count': 1833, 'provinceName': '安徽', 'provinceCode': 'AH'}
{'Value': 3413, 'Desc': '宿州市', 'Count': 1740, 'provinceName': '安徽', 'provinceCode': 'AH'}
{'Value': 3415, 'Desc': '六安市', 'Count': 1719, 'provinceName': '安徽', 'provinceCode': 'AH'}
{'Value': 3408, 'Desc': '安庆市', 'Count': 1648, 'provinceName': '安徽', 'provinceCode': 'AH'}
{'Value': 3418, 'Desc': '宣城市', 'Count': 1157, 'provinceName': '安徽', 'provinceCode': 'AH'}
{'Value': 3403, 'Desc': '蚌埠市', 'Count': 1114, 'provinceName': '安徽', 'provinceCode': 'AH'}
{'Value': 3411, 'Desc': '滁州市', 'Count': 1080, 'provinceName': '安徽', 'provinceCode': 'AH'}
{'Value': 3407, 'Desc': '铜陵市', 'Count': 941, 'provinceName': '安徽', 'provinceCode': 'AH'}
{'Value': 3404, 'Desc': '淮南市', 'Count': 913, 'provinceName': '安徽', 'provinceCode': 'AH'}
{'Value': 3405, 'Desc': '马鞍山市', 'Count': 900, 'provinceName': '安徽', 'provinceCode': 'AH'}
{'Value': 3406, 'Desc': '淮北市', 'Count': 830, 'provinceName': '安徽', 'provinceCode': 'AH'}
{'Value': 3410, 'Desc': '黄山市', 'Count': 687, 'provinceName': '安徽', 'provinceCode': 'AH'}
{'Value': 3417, 'Desc': '池州市', 'Count': 596, 'provinceName': '安徽', 'provinceCode': 'AH'}
{'Value': 3426, 'Desc': '巢湖地区', 'Count': 10, 'provinceName': '安徽', 'provinceCode': 'AH'}
{'Value': 5001, 'Desc': '市辖区', 'Count': 7123, 'provinceName': '重庆', 'provinceCode': 'CQ'}
{'Value': 5002, 'Desc': '县', 'Count': 1528, 'provinceName': '重庆', 'provinceCode': 'CQ'}
{'Value': 5003, 'Desc': '重庆市', 'Count': 63, 'provinceName': '重庆', 'provinceCode': 'CQ'}
{'Value': 3505, 'Desc': '泉州市', 'Count': 9215, 'provinceName': '福建', 'provinceCode': 'FJ'}
{'Value': 3501, 'Desc': '福州市', 'Count': 5176, 'provinceName': '福建', 'provinceCode': 'FJ'}
{'Value': 3502, 'Desc': '厦门市', 'Count': 3966, 'provinceName': '福建', 'provinceCode': 'FJ'}
{'Value': 3503, 'Desc': '莆田市', 'Count': 3538, 'provinceName': '福建', 'provinceCode': 'FJ'}
{'Value': 3506, 'Desc': '漳州市', 'Count': 2523, 'provinceName': '福建', 'provinceCode': 'FJ'}
{'Value': 3509, 'Desc': '宁德市', 'Count': 1938, 'provinceName': '福建', 'provinceCode': 'FJ'}
{'Value': 3504, 'Desc': '三明市', 'Count': 1876, 'provinceName': '福建', 'provinceCode': 'FJ'}
{'Value': 3508, 'Desc': '龙岩市', 'Count': 1476, 'provinceName': '福建', 'provinceCode': 'FJ'}
{'Value': 3507, 'Desc': '南平市', 'Count': 1464, 'provinceName': '福建', 'provinceCode': 'FJ'}
{'Value': 6201, 'Desc': '兰州市', 'Count': 1944, 'provinceName': '甘肃', 'provinceCode': 'GS'}
{'Value': 6210, 'Desc': '庆阳市', 'Count': 1035, 'provinceName': '甘肃', 'provinceCode': 'GS'}
{'Value': 6211, 'Desc': '定西市', 'Count': 881, 'provinceName': '甘肃', 'provinceCode': 'GS'}
{'Value': 6205, 'Desc': '天水市', 'Count': 815, 'provinceName': '甘肃', 'provinceCode': 'GS'}
{'Value': 6204, 'Desc': '白银市', 'Count': 690, 'provinceName': '甘肃', 'provinceCode': 'GS'}
{'Value': 6206, 'Desc': '武威市', 'Count': 660, 'provinceName': '甘肃', 'provinceCode': 'GS'}
{'Value': 6209, 'Desc': '酒泉市', 'Count': 589, 'provinceName': '甘肃', 'provinceCode': 'GS'}
{'Value': 6212, 'Desc': '陇南市', 'Count': 582, 'provinceName': '甘肃', 'provinceCode': 'GS'}
{'Value': 6208, 'Desc': '平凉市', 'Count': 529, 'provinceName': '甘肃', 'provinceCode': 'GS'}
{'Value': 6207, 'Desc': '张掖市', 'Count': 506, 'provinceName': '甘肃', 'provinceCode': 'GS'}
{'Value': 6230, 'Desc': '甘南藏族自治州', 'Count': 305, 'provinceName': '甘肃', 'provinceCode': 'GS'}
{'Value': 6229, 'Desc': '临夏回族自治州', 'Count': 246, 'provinceName': '甘肃', 'provinceCode': 'GS'}
{'Value': 6203, 'Desc': '金昌市', 'Count': 218, 'provinceName': '甘肃', 'provinceCode': 'GS'}
{'Value': 6202, 'Desc': '嘉峪关市', 'Count': 201, 'provinceName': '甘肃', 'provinceCode': 'GS'}
{'Value': 4403, 'Desc': '深圳市', 'Count': 18400, 'provinceName': '广东', 'provinceCode': 'GD'}
{'Value': 4401, 'Desc': '广州市', 'Count': 13073, 'provinceName': '广东', 'provinceCode': 'GD'}
{'Value': 4419, 'Desc': '东莞市', 'Count': 8928, 'provinceName': '广东', 'provinceCode': 'GD'}
{'Value': 4406, 'Desc': '佛山市', 'Count': 6126, 'provinceName': '广东', 'provinceCode': 'GD'}
{'Value': 4413, 'Desc': '惠州市', 'Count': 4236, 'provinceName': '广东', 'provinceCode': 'GD'}
{'Value': 4420, 'Desc': '中山市', 'Count': 3876, 'provinceName': '广东', 'provinceCode': 'GD'}
{'Value': 4404, 'Desc': '珠海市', 'Count': 1992, 'provinceName': '广东', 'provinceCode': 'GD'}
{'Value': 4408, 'Desc': '湛江市', 'Count': 1871, 'provinceName': '广东', 'provinceCode': 'GD'}
{'Value': 4407, 'Desc': '江门市', 'Count': 1858, 'provinceName': '广东', 'provinceCode': 'GD'}
{'Value': 4412, 'Desc': '肇庆市', 'Count': 1784, 'provinceName': '广东', 'provinceCode': 'GD'}
{'Value': 4452, 'Desc': '揭阳市', 'Count': 1614, 'provinceName': '广东', 'provinceCode': 'GD'}
{'Value': 4414, 'Desc': '梅州市', 'Count': 1496, 'provinceName': '广东', 'provinceCode': 'GD'}
{'Value': 4409, 'Desc': '茂名市', 'Count': 1483, 'provinceName': '广东', 'provinceCode': 'GD'}
{'Value': 4418, 'Desc': '清远市', 'Count': 1443, 'provinceName': '广东', 'provinceCode': 'GD'}
{'Value': 4405, 'Desc': '汕头市', 'Count': 1325, 'provinceName': '广东', 'provinceCode': 'GD'}
{'Value': 4416, 'Desc': '河源市', 'Count': 1268, 'provinceName': '广东', 'provinceCode': 'GD'}
{'Value': 4402, 'Desc': '韶关市', 'Count': 953, 'provinceName': '广东', 'provinceCode': 'GD'}
{'Value': 4451, 'Desc': '潮州市', 'Count': 917, 'provinceName': '广东', 'provinceCode': 'GD'}
{'Value': 4417, 'Desc': '阳江市', 'Count': 876, 'provinceName': '广东', 'provinceCode': 'GD'}
{'Value': 4453, 'Desc': '云浮市', 'Count': 853, 'provinceName': '广东', 'provinceCode': 'GD'}
{'Value': 4415, 'Desc': '汕尾市', 'Count': 776, 'provinceName': '广东', 'provinceCode': 'GD'}
{'Value': 4501, 'Desc': '南宁市', 'Count': 4662, 'provinceName': '广西', 'provinceCode': 'GX'}
